version,FS,Windows compactability(Volume backup),Windows bare-metal volume recovery,Physical hosts for operating systems,SQL,Oracle Database,Db2,RBS support,Vm ware
8.1.3,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,Windows Server 2008 R2; Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,"RHEL 6, 7, 8, 9; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,"AIX 6, AIX 7.x; Oracle Linux 6, Oracle Linux 7, Oracle Linux 8;  RHEL 6, RHEL 7, RHEL 8 • SLES 11, SLES 12, SLES 15; Oracle Linux 7, Oracle Linux 8;  RHEL 8.2; SLES 15 SP1; 19c, 18c, 12cR2, 12cR1, 11gR2, 21c","CentOS;  RHEL 7.x, 8.x; SLES; AIX 6.x, 7.x; 9.7, 10.x, and 11.x","RHEL 6, 7, 8, 9","vCenter Server versions 6.5 , 6.7, 7.0, and 8.0; ESXi versions 6.5, 6.7, 7.0, and 8.0"
9.0.3,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",,NA,"RHEL 6, 7, 8, 9; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,NA,NA,NA,NA
9.1.2,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,Windows Server 2008 R2; Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,"RHEL 6, 7, 8, 9; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,"AIX 6, AIX 7.x; Oracle Linux 6, Oracle Linux 7, Oracle Linux 8;  RHEL 6, RHEL 7, RHEL 8 • SLES 11, SLES 12, SLES 15; Oracle Linux 7, Oracle Linux 8;  RHEL 8.2; SLES 15 SP1; 19c, 18c, 12cR2, 12cR1, 11gR2, 21c","CentOS;  RHEL 7.x, 8.x; SLES; AIX 6.x, 7.x; 9.7, 10.x, and 11.x","RHEL 6, 7, 8, 9","vCenter Server versions 6.5 , 6.7, 7.0, and 8.0; ESXi versions 6.5, 6.7, 7.0, and 8.0"
9.1.3,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",NA,NA,"RHEL 6, 7, 8, 9; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU, 14.5+, 11.2, 11.3, 11.4",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,NA,NA,"RHEL 6, 7, 8, 9 ; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31;  AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",
6.0.3,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",NA,NA,NA,Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,NA,NA,NA,"vCenter Server versions 6.5 , 6.7, 7.0, and 8.0; ESXi versions 6.5, 6.7, 7.0, 8.0"
10.0.1,"RHEL6; RHEL7; RHEL8; RHEL9; Oracle Linux; CentOS 6; CentOS 7; CentOS 8; Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; Ubuntu 17.04; Ubuntu 18.04; Ubuntu 20.04; Ubuntu22.04; Debian 8; Debian 9; Debian 10; Debian 11; SLES 11; SLES12; SLES15; Alma and Rocky Linux 9;  Microsoft Windows Server 2012;  Microsoft Windows Server 2012 R2;  Microsoft Windows Server 2016;  Microsoft Windows Server 2019;  Microsoft Windows Server 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU 14.5+, 11.2, 11.3, 11.4",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,Windows Server 2008 R2; Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; Windows 10; Windows 11,"RHEL 6, 7, 8, 9; Oracle Linux and CentOS 6, 7, 8; Ubuntu 14.04 LTS, 16.04 LTS, 17.04, 18.04, 20.04, 22.04; Debian 8, 9, 10, 11; SLES 11, 12, 15; Alma and Rocky Linux 9; Microsoft Windows Server 2012, 2012 R2, 2016, 2019, 2022; Microsoft Windows 10; HP-UX 11.31; AIX 6.1, 7.1 TL3+, 7.2, 7.3; Solaris i386 10, 11.1, 11.2, 11.3, 11.4; Solaris SPARC 10U11+, 11.1 SRU",Windows Server 2012; Windows Server 2012 R2; Windows Server 2016; Windows Server 2019; Windows Server 2022; SQL Server 2012; SQL Server 2014; SQL Server 2016; SQL Server 2017; SQL Server 2019; SQL Server 2022,"AIX 6, AIX 7.x; Oracle Linux 6, Oracle Linux 7, Oracle Linux 8;  RHEL 6, RHEL 7, RHEL 8 • SLES 11, SLES 12, SLES 15; Oracle Linux 7, Oracle Linux 8;  RHEL 8.2; SLES 15 SP1; 19c, 18c, 12cR2, 12cR1, 11gR2, 21c","CentOS;  RHEL 7.x, 8.x; SLES; AIX 6.x, 7.x; 9.7, 10.x, and 11.x","RHEL 6, 7, 8, 9","vCenter Server versions 6.5 , 6.7, 7.0, and 8.0; ESXi versions 6.5, 6.7, 7.0, and 8.0"
